Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/02/2017,1693139.24,AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,10/10/2017,1647648.07,AUD,LEAF Building Group Pty Ltd,2404 Logan Road Eight Mile Plains QLD 4113,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,22/11/2017,1606047.64,AUD,Holcim (Australia) Pty Ltd,Bruce Highway Bohle QLD 4818,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,4/05/2017,1600000,AUD,Transport Wash Systems Pty Ltd,20 Jones Road Carina Heights QLD 4152,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/03/2019,1595225,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/03/2015,1571504.31,AUD,Austbreck Pty Ltd,36 Westpool Drive Hallam VIC 3803,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,19/12/2019,1550549,AUD,Frauscher Sensor Technology,84 William Street Melbourne VIC 3000,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FLEET MNGMENT,3/04/2019,1547198.07,AUD,Daimler Trucks of Brisbane,1699 Ipswich Road Rocklea QLD 4106,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVER EQUIPMENT,23/08/2016,1533554.63,AUD,EMC Global Holdings Company,PO Box 1326 North Sydney NSW 2060,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BUILDING & HYDRAULIC MAINTENANCE (RENOVATION & FITOUT, SIGNAGE, LOCKSMITHS)",4/02/2020,1500000,AUD,Quadric Pty Ltd,PO Box 296 Salisbury QLD 4107,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUPERVISORY SYSTEMS,20/04/2020,1500000,AUD,SJP Access Pty Ltd,50-54 Sanctuary Drive Mount Cotton QLD 4165,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUPERVISORY SYSTEMS,20/04/2020,1500000,AUD,Technet Systems Pty Ltd,115 Robinson Road Geebung QLD 4034,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUPERVISORY SYSTEMS,20/04/2020,1500000,AUD,Security & Technology Services SQ,1631 Wynnum Road Tingalpa QLD 4173,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SECURITY & STATION SYSTEMS MAINTENANCE (INCLUDING CCTV AND FENCING),20/04/2020,1500000,AUD,ARA Security Services,10 Bridge Road Stanmore NSW 2048,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SECURITY & STATION SYSTEMS MAINTENANCE (INCLUDING CCTV AND FENCING),20/04/2020,1500000,AUD,Johnson Controls Aust Pty Ltd,4/121 Newmarket Road Windsor QLD 4030,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SECURITY & STATION SYSTEMS MAINTENANCE (INCLUDING CCTV AND FENCING),20/04/2020,1500000,AUD,Pride Electronic Security Systems,40 Wilson Avenue Woombye QLD 4559,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4002",Facilities Upgrades,29/10/2019,"1,466,692.00",AUD,Hutchinson Builders,584 Milton Road Toowong QLD 4066,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4012",Facilities Upgrades,31/10/2019,"1,451,320.00",AUD,Atco Structures and,55 Tonka Street Luscombe QLD 4211,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OVERHEAD LINE EQUIP (OHLE),10/06/2020,1373843,AUD,Schneider Electric (Australia),78 Waterloo Road MacQuarie Park NSW 2113,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/07/2016,1370754,AUD,Ranbury Management Group Pty Ltd,270 Adelaide Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,19/03/2019,1356391.75,AUD,Ausco Modular Pty Ltd,50 Gateway Drive Mackay QLD 4740,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,17/07/2018,1333000,AUD,Formula Interiors,21 Wellington Road Brisbane QLD 4169,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","STRUCTURAL MAINTENANCE & REPAIRS (BRIDGES, CULVERTS, PIERS)",17/03/2020,1319108.65,AUD,JF Hull Holdings Pty Ltd,PO Box 5718 Brendale QLD 4500,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,1/12/2016,1299540.87,AUD,Geofabrics Australasia Pty Ltd,PO Box 684 Sumner Park QLD 4074,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FLEET MNGMENT,5/06/2018,1271259,AUD,CJD Equipment Pty Ltd,36 Colebard Street East Acacia Ridge QLD 4110,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,21/05/2020,1266958,AUD,Holcim (Australia) Pty Ltd,PO Box 1143 Milton QLD 4064,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,31/03/2020,1244260,AUD,WSP Australia Pty Limited,GPO Box 5394 Sydney NSW 2001,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL CABLES AND CONDUCTORS,1/06/2015,1222109,AUD,Prysmian Power Cables &,Locked Bag 7042 Liverpool BC NSW 1871,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,3/04/2017,1204912,AUD,Ranbury Management Group Pty Ltd,270 Adelaide Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SIGNALLING CONSTRUCTION,12/02/2020,1200000,AUD,Wilson Transformer Company Pty Ltd,PO Box 5 Glen Waverley VIC 3150,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/05/2020,1198141,AUD,IDEC Solutions Pty Ltd,265 Queensport Road North Murarrie QLD 4172,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,17/03/2020,1167871.68,AUD,Qencom Pty Ltd,71 Eagle Street Brisbane QLD 4000,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/07/2015,1158026.64,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,9/05/2018,1055780.68,AUD,WSP Australia Pty Limited,GPO Box 5394 Sydney NSW 2001,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEHICLES,3/04/2019,1016219,AUD,SCI Fleet Motors Pty Ltd,59 Kitchener Road Kedron QLD 4031,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,13/03/2017,1008895.57,AUD,D & D Peckett Contracting,11 Goldston Street Alpha QLD 4724,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/02/2020,1001598.4,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER INVENTORY & PARTS,16/03/2020,1000000,AUD,Geofabrics Australasia Pty Ltd,PO Box 684 Sumner Park QLD 4074,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSULTANTS,14/03/2017,996400,AUD,Ranbury Management Group Pty Ltd,270 Adelaide Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,28/06/2018,991186,AUD,Vec Civil Engineering Pty Ltd,PO Box 812 Ulverstone TAS 7315,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,23/09/2019,982626.35,AUD,Schwarz Excavations Pty Ltd,PO Box 78 Gracemere QLD 4702,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,5/01/2015,963888.7,AUD,Johnson Controls Aust Pty Ltd,4/121 Newmarket Road Windsor QLD 4030,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,4/06/2018,950000,AUD,WSP Australia Pty Limited,GPO Box 5394 Sydney NSW 2001,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/07/2015,942968.23,AUD,UES (INTL) Pty Ltd,36 Pritchard Road Virginia QLD 4014,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,13/01/2017,934873.94,AUD,Sure Power,4 Manilla Street East Brisbane QLD 4169,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ELECTRICAL MAINTENANCE (LV SYSTEMS, PV SOLAR SYSTEMS, GENERATORS AND FENCING)",8/05/2020,928817,AUD,HMA Material Handling,PO Box 999 Brisbane Airport QLD 4007,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FINANCE : UTILITIES,8/06/2020,924000,AUD,Powerdirect Pty Ltd,PO Box 1028 Glen Waverley VIC 3150,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/07/2015,920073.52,AUD,Hyteco (Aust) Pty Ltd,PO Box 5141 Brendale QLD 4500,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/11/2015,905182.91,AUD,Chandler MacLeod Group Ltd,PO Box 49 Mulgrave VIC 3170,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SIGNALLING CONSTRUCTION,12/02/2020,900000,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SIGNALLING CONSTRUCTION,12/02/2020,900000,AUD,AMP Control Qld Pty Ltd,166 Farrellys Road Mackay QLD 4740,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/02/2020,893400,AUD,Bubbles Organic Pty Ltd,PO Box 22 Currumbin QLD 4223,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSULTANTS,10/04/2018,873832.16,AUD,Kellogg Brown & Root Pty Ltd,199 Grey Street South Brisbane QLD 4101,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","STRUCTURAL MAINTENANCE & REPAIRS (BRIDGES, CULVERTS, PIERS)",24/04/2020,871464.25,AUD,Corrosion Control Engineering (QLD),PO Box 7166 Hemmant QLD 4174,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,13/07/2018,802853.23,AUD,Downer Pipetech Pty Ltd,49 Links Avenue North Eagle Farm QLD 4009,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,5/07/2016,799730.77,AUD,MC Infrastructure,PO Box 2185 Milton QLD 4064,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","MASTS, PORTALS AND ASSOCIATED STEELWORK",25/05/2020,788106,AUD,Products for Industry Pty Ltd,PO Box 3084 Darra QLD 4076,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,7/03/2016,774715.33,AUD,Powell Dods & Thorpe,184 Wharf Street Spring Hill QLD 4000,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,22/05/2018,770732.67,AUD,Telstra Corporation Limited,275 George Street Brisbane QLD 4000,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,16/06/2017,769502,AUD,Harsco Rail Pty Ltd,PO Box 5287 Brendale QLD 4500,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FACILITIES SOFT SERVICES,26/05/2020,755726.4,AUD,KC Dry Cleaning Qld Pty Ltd,88 Robertson Street Fortitude Valley QLD 4006,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/04/2018,751299.2,AUD,Conrad Gargett,26/240 Queen Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000", SIGNALLING CONTRACT,21/11/2016,750740.05,AUD,MPA Engineering Pty Ltd,117 Toongarra Wulkurraka QLD 4305,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,27/01/2015,744633.5,AUD,ARA Security Services,10 Bridge Road Stanmore NSW 2048,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","STRUCTURAL MAINTENANCE & REPAIRS (BRIDGES, CULVERTS, PIERS)",23/04/2020,740000,AUD,Rhomberg Rail Australia Pty Ltd,PO Box 442 Gracemere QLD 4702,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/11/2015,732193.6,AUD,Hudson Global Resources,66 Eagle Street Brisbane QLD 4000,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FEASIBILITY & APPRAISAL,25/06/2020,720000,AUD,Actrua,288 Edward Street Brisbane QLD 4000,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,5/03/2020,713700.9,AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4003",Cleaning Services,23/06/2019,"650,000.00",AUD,Cleantex Services,4 Gladstone Street Moorooka QLD 4105,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","DESIGN, ARCHITECTURE & CERTIFICATION",13/02/2020,640000,AUD,Stantec Australia Pty Ltd,"Level 20, 40 City Road SouthBank VIC 3006",NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,7/06/2018,633853,AUD,Kane Constructions Pty Ltd,PO Box 200 Albion QLD 4010,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTION,20/05/2020,617500,AUD,Hitachi Australia Pty Ltd,123 Epping Road North Ryde NSW 2113,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BRAKES, PNEUMATICS, COUPLERS, HVAC, DOORS, BODY/FITTINGS",20/02/2020,610000,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",31/07/2019,609877.69,AUD,Brisbane Isuzu,PO Box 1141 Archerfield QLD 4108,NO,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,17/04/2020,600000,AUD,RPS AAP Consulting Pty Ltd,PO Box 1559 Fortitude Valley QLD 4006,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,12/03/2019,600000,AUD,Ulex Constructions Pty Ltd,PO Box 1129 Eagle Farm QLD 4009,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RECORDS MANAGEMENT,22/04/2020,590520,AUD,Grace Records Management,9 Hepher Road Campbelltown NSW 2560,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,15/11/2018,578770,AUD,Dassault Systemes Australia Pty Ltd,"Level 8, 190 St Georges Terrace Perth WA 6000",YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/07/2015,568910.9,AUD,Knorr-Bremse Australia Pty Ltd,PO Box 180 Granville NSW 2142,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,29/04/2020,567476.8,AUD,Schneider Electric (Australia),78 Waterloo Road MacQuarie Park NSW 2113,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FACILITIES HARD SERVICES,15/04/2019,567388.04,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,17/03/2020,563750,AUD,Qencom Pty Ltd,71 Eagle Street Brisbane QLD 4000,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,25/06/2020,561000,AUD,Sungod Signs & Designs,27 Coronation Avenue Nambour QLD 4560,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLEANING,30/03/2017,560450,AUD,Goodmans Cleaning,PO Box 33 Longreach QLD 4730,YES,NO,OPEN,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICITY,19/05/2020,560000,AUD,CPB BAM Ghella UGL Joint Venture,337A - 339 Level 3 Coronation Drive Milton QLD 4064,NO,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,24/01/2019,558383,AUD,PricewaterhouseCoopers Consulting,480 Queen Street Brisbane QLD 4000,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,27/10/2016,556800,AUD,From the Front Pty Ltd,9 Brookside Place Lota QLD 4179,YES,NO,CLOSED,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","EARTHMOVING PLANT AND EQUIPMENT (HIRE, MAINTENANCE AND PURCHASE)",2/04/2020,545454.55,AUD,Aurizon Network Pty Ltd,PO Box 456 Brisbane QLD 4001,NO,NO,CLOSED,,,,,,,,,,,,
